Container,hits,invos,hit_rate,num_of_cache_keys
objective_benz,8,10,0.8,2
elegant_almeida,5,7,0.7142857142857143,2
elastic_swanson,1,13,0.07692307692307693,4
zen_robinson,1,94,0.010638297872340425,6
nice_napier,1,45,0.022222222222222223,4
pensive_hamilton,2,77,0.025974025974025976,4
vigorous_bohr,1,5,0.2,3
nostalgic_beaver,1,11,0.09090909090909091,2
xenodochial_gauss,2,18,0.1111111111111111,5
friendly_jang,1,13,0.07692307692307693,3
admiring_ritchie,1,22,0.045454545454545456,4
distracted_engelbart,2,30,0.06666666666666667,5
jolly_gagarin,1,12,0.08333333333333333,4
nostalgic_johnson,1,11,0.09090909090909091,3
elegant_chebyshev,3,39,0.07692307692307693,7
gracious_hopper,2,22,0.09090909090909091,4
practical_darwin,1,3,0.3333333333333333,2
youthful_mayer,1,32193,3.106265337185102e-05,36
hopeful_snyder,1,1637,0.0006108735491753207,11
quirky_jemison,3,1668,0.0017985611510791368,18
affectionate_burnell,1,9513,0.00010511931041732366,30
admiring_ramanujan,1,2546,0.00039277297721916735,31
clever_swanson,1,637,0.0015698587127158557,15
naughty_napier,1,10609,9.425959091337543e-05,39
competent_knuth,1,11514,8.685079034219212e-05,22
gifted_villani,1,2027,0.000493339911198816,23
objective_engelbart,2,13068,0.00015304560759106213,28
eloquent_payne,3,126,0.023809523809523808,6
youthful_bartik,1,650,0.0015384615384615385,13
determined_nobel,1,7377,0.00013555645926528398,25
nostalgic_stonebraker,1,11877,8.419634587858886e-05,36
charming_kirch,1,14103,7.090689924129617e-05,31
condescending_mclean,1,29551,3.383980237555413e-05,34
eager_easley,1,3017,0.00033145508783559825,21
jovial_germain,1,2433,0.0004110152075626798,23
quirky_taussig,15,9391,0.0015972739857310191,32
boring_moser,1,22021,4.5411198401525815e-05,30
wizardly_diffie,2,144,0.013888888888888888,17
charming_elion,1,1481,0.0006752194463200541,27
elegant_nash,2,282,0.0070921985815602835,12
pensive_pascal,1,2547,0.00039261876717707107,20
gallant_bartik,3,793,0.0037831021437578815,21
lucid_einstein,1,5734,0.00017439832577607255,29
infallible_chaum,1,23342,4.284123040013709e-05,30
fervent_tu,2,4274,0.0004679457182966776,32
pedantic_montalcini,17,482,0.035269709543568464,14
loving_banach,1,111,0.009009009009009009,18
