Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
compassionate_shannon,1,2,0.5,1,1.54443359375
wizardly_babbage,1,2,0.5,1,1.55126953125
determined_colden,464,4998,0.09283713485394157,23,15.51318359375
priceless_chatterjee,324,3492,0.09278350515463918,20,17.80712890625
recursing_wright,5,6,0.8333333333333334,2,3.36962890625
infallible_swirles,1,2,0.5,1,1.537109375
eager_fermi,21,68,0.3088235294117647,5,9.5361328125
nice_matsumoto,3,5,0.6,2,3.3671875
loving_payne,2,3,0.6666666666666666,2,3.369140625
jovial_mirzakhani,782,14708,0.05316834375849878,31,19.4365234375
sleepy_aryabhata,3,5,0.6,2,3.37646484375
fervent_banach,4,7,0.5714285714285714,2,3.3955078125
strange_chatelet,396,4198,0.09433063363506432,21,15.52978515625
charming_bassi,655,12939,0.05062215008887858,25,18.93701171875
determined_dijkstra,1,2,0.5,1,1.52880859375
reverent_shannon,3,4,0.75,2,3.3349609375
sweet_torvalds,2,3,0.6666666666666666,1,4.09765625
tender_darwin,4,5,0.8,2,3.3798828125
romantic_wescoff,5,7,0.7142857142857143,3,6.4912109375
amazing_ganguly,72,85,0.8470588235294118,14,10.73388671875
eager_wilson,2,3,0.6666666666666666,1,2.86328125
epic_hertz,427,2138,0.19971936389148737,18,14.41162109375
inspiring_tharp,2,3,0.6666666666666666,1,4.0927734375
wonderful_diffie,1,2,0.5,1,1.54345703125
festive_mahavira,1,2,0.5,1,1.54638671875
nostalgic_aryabhata,3,4,0.75,2,3.33544921875
frosty_solomon,530,7341,0.07219724833129001,30,18.75927734375
zen_feynman,3,5,0.6,2,3.37060546875
hungry_leavitt,3,11,0.2727272727272727,3,6.43896484375
gracious_bhaskara,2,3,0.6666666666666666,1,4.109375
gallant_dubinsky,3,11,0.2727272727272727,3,6.478515625
confident_wiles,3,27,0.1111111111111111,3,8.97314453125
festive_edison,7,9,0.7777777777777778,2,5.84912109375
boring_chebyshev,4,5,0.8,2,3.3623046875
affectionate_mendeleev,8,10,0.8,3,6.0361328125
interesting_banzai,12,19,0.631578947368421,4,7.3408203125
peaceful_hypatia,13,30,0.43333333333333335,4,6.75
keen_golick,2,3,0.6666666666666666,1,1.58154296875
unruffled_poincare,16,31,0.5161290322580645,5,11.001953125
magical_vaughan,739,5806,0.12728212194281777,33,15.61865234375
hardcore_carson,23,48,0.4791666666666667,5,8.35205078125
friendly_merkle,2,3,0.6666666666666666,2,3.359375
sleepy_greider,7,14,0.5,3,9.06787109375
pensive_jennings,3,6,0.5,2,4.61474609375
heuristic_taussig,14,28,0.5,4,8.19580078125
confident_allen,4,5,0.8,2,8.4296875
jovial_johnson,969,16663,0.05815279361459521,30,19.4501953125
gifted_golick,7,14,0.5,5,10.109375
intelligent_varahamihira,25,40,0.625,6,10.52880859375
beautiful_fermi,238,2193,0.10852713178294573,20,15.802734375
nervous_swirles,5,9,0.5555555555555556,3,6.43701171875
beautiful_lichterman,577,8704,0.06629136029411764,27,15.91015625
mystifying_beaver,8,22,0.36363636363636365,4,8.9912109375
quizzical_swartz,14,17,0.8235294117647058,5,7.80419921875
infallible_bose,16,103,0.1553398058252427,7,13.1767578125
ecstatic_bouman,3,4,0.75,3,4.61669921875
jolly_hopper,12,15,0.8,3,5.248046875
sleepy_proskuriakova,149,821,0.1814859926918392,17,17.2880859375
lucid_curie,23,131,0.17557251908396945,7,11.52197265625
distracted_khorana,8,34,0.23529411764705882,4,12.09716796875
sharp_joliot,3,66,0.045454545454545456,3,12.791015625
exciting_yalow,1,2,0.5,1,1.55078125
infallible_albattani,24,45,0.5333333333333333,9,11.134765625
vigilant_bardeen,17,28,0.6071428571428571,7,10.37451171875
brave_jemison,16,66,0.24242424242424243,6,13.67041015625
elastic_moore,68,79,0.8607594936708861,16,10.298828125
heuristic_yalow,4,38,0.10526315789473684,3,10.27978515625
stupefied_agnesi,7,17,0.4117647058823529,3,13.251953125
epic_johnson,8,103,0.07766990291262135,5,11.85546875
upbeat_swartz,20,59,0.3389830508474576,3,9.1787109375
hopeful_bose,11,12,0.9166666666666666,3,6.05224609375
wonderful_lehmann,295,3003,0.09823509823509824,28,16.43359375
heuristic_payne,635,5600,0.11339285714285714,32,17.90087890625
lucid_darwin,296,1317,0.22475322703113135,20,15.064453125
priceless_hofstadter,587,15428,0.038047705470572984,34,27.50341796875
