Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
sad_spence,1,2,0.5,1,1.537109375
strange_ptolemy,1,2,0.5,1,1.54443359375
sad_dirac,11,24,0.4583333333333333,5,9.59326171875
interesting_easley,4,6,0.6666666666666666,2,3.37548828125
serene_fermat,4,5,0.8,2,4.6298828125
inspiring_pare,5,9,0.5555555555555556,2,3.37890625
gallant_leakey,5,10,0.5,2,4.638671875
sharp_villani,9,21,0.42857142857142855,4,6.58544921875
youthful_taussig,865,3451,0.25065198493190377,25,42.01318359375
competent_moore,3,5,0.6,2,3.38720703125
sad_margulis,7,24,0.2916666666666667,3,6.50537109375
heuristic_sutherland,16,19,0.8421052631578947,3,6.4912109375
youthful_darwin,929,3295,0.28194233687405157,27,43.193359375
busy_mccarthy,2,3,0.6666666666666666,2,3.3662109375
sad_robinson,2,3,0.6666666666666666,1,1.55712890625
magical_meninsky,2,3,0.6666666666666666,1,1.57568359375
eloquent_ishizaka,3,5,0.6,2,3.38037109375
epic_einstein,8,16,0.5,4,8.22119140625
brave_shirley,2,3,0.6666666666666666,1,1.58740234375
hungry_wu,162,850,0.19058823529411764,14,25.87255859375
quizzical_montalcini,4,7,0.5714285714285714,2,4.6767578125
interesting_mclaren,6,10,0.6,2,8.36572265625
determined_golick,2,3,0.6666666666666666,1,2.85205078125
vigorous_euclid,2,3,0.6666666666666666,1,1.5712890625
goofy_pasteur,8,18,0.4444444444444444,4,8.2626953125
lucid_hypatia,4,5,0.8,1,1.6376953125
sweet_faraday,11,15,0.7333333333333333,3,5.92529296875
crazy_sinoussi,1277,7287,0.1752435844654865,30,49.916015625
pensive_thompson,3,6,0.5,2,4.66552734375
awesome_mccarthy,5,6,0.8333333333333334,3,7.20703125
condescending_shamir,2,3,0.6666666666666666,1,1.57861328125
objective_galileo,17,87,0.19540229885057472,5,11.47900390625
condescending_williamson,8,10,0.8,2,4.6376953125
busy_pike,4,5,0.8,1,1.6259765625
loving_matsumoto,29,57,0.5087719298245614,5,9.7607421875
quizzical_moore,19,36,0.5277777777777778,7,11.20361328125
focused_agnesi,2,3,0.6666666666666666,1,1.57666015625
dreamy_euler,2,3,0.6666666666666666,1,7.8779296875
sleepy_euclid,84,85,0.9882352941176471,14,18.9716796875
angry_cray,3,4,0.75,2,3.36669921875
recursing_kalam,9,79,0.11392405063291139,4,13.322265625
competent_mccarthy,4,6,0.6666666666666666,2,3.3955078125
flamboyant_payne,2,3,0.6666666666666666,1,1.578125
musing_hawking,2,3,0.6666666666666666,1,6.6748046875
strange_bhabha,4,5,0.8,2,4.72705078125
trusting_yonath,267,587,0.454855195911414,24,34.24267578125
hungry_goldwasser,391,1129,0.3463241806908769,23,35.697265625
pedantic_chandrasekhar,8,15,0.5333333333333333,4,7.064453125
agitated_wu,7,42,0.16666666666666666,3,9.17138671875
zen_neumann,6,14,0.42857142857142855,3,6.47119140625
sweet_bohr,2,3,0.6666666666666666,1,2.859375
optimistic_montalcini,6,10,0.6,4,6.55029296875
elated_blackburn,16,41,0.3902439024390244,7,15.42041015625
festive_almeida,2,3,0.6666666666666666,1,2.86328125
beautiful_blackburn,2,3,0.6666666666666666,2,3.35888671875
charming_grothendieck,1,2,0.5,1,1.54638671875
focused_wu,5,6,0.8333333333333334,2,4.08642578125
youthful_stonebraker,20,59,0.3389830508474576,7,12.41455078125
keen_dewdney,3,4,0.75,1,4.13232421875
elegant_johnson,19,27,0.7037037037037037,7,10.982421875
nostalgic_meitner,5,8,0.625,2,4.68994140625
clever_hopper,4,10,0.4,2,4.6552734375
great_jones,6,10,0.6,3,7.796875
jovial_hopper,28,70,0.4,7,12.34375
jovial_ramanujan,15,34,0.4411764705882353,5,10.01123046875
infallible_lichterman,7,16,0.4375,5,8.34521484375
unruffled_lichterman,9,48,0.1875,5,10.1025390625
frosty_ellis,882,3231,0.27298050139275765,29,47.36962890625
unruffled_wright,3,8,0.375,2,4.6767578125
youthful_sanderson,652,2185,0.29839816933638447,26,43.75146484375
gallant_mcclintock,255,678,0.37610619469026546,19,28.58154296875
sleepy_austin,2,3,0.6666666666666666,2,3.3642578125
keen_golick,9,18,0.5,5,10.150390625
dazzling_jennings,3,4,0.75,1,7.8779296875
agitated_liskov,10,22,0.45454545454545453,5,8.7353515625
hungry_jemison,3,4,0.75,3,4.5927734375
exciting_wilson,3,10,0.3,2,8.66162109375
clever_hellman,18,123,0.14634146341463414,7,14.2255859375
affectionate_herschel,2,3,0.6666666666666666,2,3.36572265625
brave_shtern,13,110,0.11818181818181818,8,14.79296875
great_wescoff,9,50,0.18,6,13.17919921875
boring_bhaskara,9,15,0.6,3,6.53076171875
jolly_shtern,7,109,0.06422018348623854,4,11.2841796875
peaceful_galois,78,79,0.9873417721518988,16,21.7333984375
upbeat_cray,7,62,0.11290322580645161,4,12.10791015625
dreamy_archimedes,11,47,0.23404255319148937,5,10.27587890625
recursing_clarke,14,86,0.16279069767441862,8,15.49755859375
nervous_chandrasekhar,19,39,0.48717948717948717,5,9.4228515625
frosty_ishizaka,16,22,0.7272727272727273,5,8.45263671875
keen_cori,7,63,0.1111111111111111,5,17.66162109375
flamboyant_heisenberg,767,2478,0.30952380952380953,31,55.28857421875
intelligent_cohen,1372,2814,0.48756218905472637,36,54.490234375
fervent_aryabhata,1196,8342,0.14337089426995925,37,67.7275390625
