function,container_name,schedule_time(ms),cold_start(ms),exec_time(ms),queue_time(ms),used_memory(MB),input_n
azure_func_00000410_io_optimize,bold_mayer,3167.574644088745,2757.2498321533203,819.9107646942139,0,12.125,30
azure_func_00000410_io_optimize,bold_mayer,3152.1670818328857,2757.2498321533203,1319.7526931762695,0,29.2265625,30
azure_func_00000410_io_optimize,bold_mayer,3142.4849033355713,2757.2498321533203,160.1126194000244,0,13.4375,30
azure_func_00000410_io_optimize,bold_mayer,3089.484214782715,2757.2498321533203,1107.2969436645508,0,25.1484375,30
azure_func_00000410_io_optimize,bold_mayer,80.63268661499023,0,99.98250007629395,0,0.15234375,30
azure_func_00000413_io_optimize,lucid_faraday,4871.542692184448,4054.0599822998047,972.2344875335693,0,12.18359375,30
azure_func_00000410_io_optimize,bold_mayer,420.5446243286133,0,95.50714492797852,0,0.0,30
azure_func_00000410_io_optimize,bold_mayer,158.61034393310547,0,139.64033126831055,0,0.0,30
azure_func_00000410_io_optimize,bold_mayer,444.3364143371582,0,734.1039180755615,0,13.984375,30
azure_func_00000410_io_optimize,bold_mayer,158.36143493652344,0,83.07933807373047,0,0.0,30
azure_func_00000410_io_optimize,sweet_tu,5388.116121292114,4591.581583023071,1408.4680080413818,0,12.23046875,30
azure_func_00000410_io_optimize,sweet_tu,5323.619365692139,4591.581583023071,1186.74898147583,0,21.4453125,30
azure_func_00000410_io_optimize,sweet_tu,5252.058982849121,4591.581583023071,15.612363815307617,0,0.0,30
azure_func_00000410_io_optimize,sweet_tu,5242.187023162842,4591.581583023071,1516.7193412780762,0,28.7578125,30
azure_func_00000410_io_optimize,bold_mayer,444.55409049987793,0,119.91405487060547,0,0.25,30
azure_func_00000410_io_optimize,bold_mayer,379.7166347503662,0,582.1752548217773,0,14.140625,30
azure_func_00000410_io_optimize,bold_mayer,147.71652221679688,0,98.8161563873291,0,0.0,30
azure_func_00000410_io_optimize,bold_mayer,46.090126037597656,0,73.83894920349121,0,0.0546875,30
azure_func_00000410_io_optimize,blissful_mcclintock,6308.251142501831,5330.687761306763,1103.4307479858398,0,12.25,30
azure_func_00000410_io_optimize,blissful_mcclintock,6040.028810501099,5330.687761306763,706.1176300048828,0,14.55078125,30
azure_func_00000410_io_optimize,blissful_mcclintock,363.9812469482422,0,161.76271438598633,0,0.16796875,30
azure_func_00000410_io_optimize,blissful_mcclintock,272.9809284210205,0,179.85272407531738,0,0.08984375,30
azure_func_00000411_io_optimize,objective_herschel,7378.637790679932,6422.740697860718,1352.7531623840332,0,12.109375,30
azure_func_00000410_io_optimize,bold_mayer,437.2527599334717,0,107.91611671447754,0,0.0,30
azure_func_00000410_io_optimize,blissful_mcclintock,414.92223739624023,0,144.0725326538086,0,0.19921875,30
azure_func_00000410_io_optimize,blissful_mcclintock,148.99826049804688,0,114.78090286254883,0,0.0,30
azure_func_00000410_io_optimize,bold_mayer,383.6326599121094,0,83.9390754699707,0,0.2578125,30
azure_func_00000410_io_optimize,bold_mayer,431.44869804382324,0,195.6651210784912,0,0.25390625,30
azure_func_00000410_io_optimize,bold_mayer,321.9718933105469,0,150.7577896118164,0,0.03125,30
azure_func_00000410_io_optimize,blissful_mcclintock,136.69061660766602,0,117.79212951660156,0,0.0,30
azure_func_00000410_io_optimize,elated_wescoff,7120.938062667847,5912.135124206543,1117.384672164917,0,12.15625,30
azure_func_00000410_io_optimize,elated_wescoff,7113.471031188965,5912.135124206543,1733.8051795959473,0,8.31640625,30
azure_func_00000410_io_optimize,elated_wescoff,7072.361469268799,5912.135124206543,1355.2091121673584,0,7.40234375,30
azure_func_00000410_io_optimize,elated_wescoff,7023.592710494995,5912.135124206543,2841.230630874634,0,25.24609375,30
azure_func_00000410_io_optimize,elated_wescoff,7004.229545593262,5912.135124206543,2294.459342956543,0,21.7109375,30
azure_func_00000410_io_optimize,elated_wescoff,6996.854782104492,5912.135124206543,1188.159704208374,0,6.9453125,30
azure_func_00000410_io_optimize,elated_wescoff,6873.953580856323,5912.135124206543,1348.3507633209229,0,8.09765625,30
azure_func_00000410_io_optimize,elated_wescoff,6781.0540199279785,5912.135124206543,906.9297313690186,0,7.85546875,30
azure_func_00000421_io_optimize,great_kowalevski,4212.629079818726,3306.6048622131348,707.7603340148926,0,12.06640625,30
azure_func_00000421_io_optimize,great_kowalevski,4210.635185241699,3306.6048622131348,8539.862632751465,0,68.41015625,30
azure_func_00000421_io_optimize,great_kowalevski,4208.975553512573,3306.6048622131348,8226.797819137573,0,64.83203125,30
azure_func_00000421_io_optimize,great_kowalevski,4197.784900665283,3306.6048622131348,6345.268726348877,0,55.9765625,30
azure_func_00000421_io_optimize,great_kowalevski,4187.562704086304,3306.6048622131348,8806.655883789062,0,72.53125,30
azure_func_00000421_io_optimize,great_kowalevski,4162.902116775513,3306.6048622131348,7907.758474349976,0,64.51953125,30
azure_func_00000410_io_optimize,frosty_matsumoto,6459.3665599823,5756.079912185669,1168.3900356292725,0,12.41015625,30
