Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
nice_villani,1,2,0.5,1,1.5498046875
zen_fermi,1,2,0.5,1,1.55078125
naughty_kapitsa,7,19,0.3684210526315789,3,6.4912109375
great_spence,3,7,0.42857142857142855,2,4.65625
keen_boyd,4,28,0.14285714285714285,3,8.96630859375
stupefied_snyder,2,3,0.6666666666666666,1,1.58251953125
laughing_hoover,3,4,0.75,3,4.6328125
dreamy_lamarr,415,1972,0.21044624746450305,21,34.091796875
stupefied_kepler,785,2436,0.3222495894909688,30,46.9755859375
naughty_proskuriakova,7,10,0.7,4,6.0654296875
agitated_tesla,374,2314,0.1616248919619706,20,35.55615234375
exciting_brown,8,25,0.32,3,7.708984375
elated_jepsen,6,9,0.6666666666666666,2,8.49267578125
crazy_mayer,12,19,0.631578947368421,2,5.1181640625
thirsty_noether,2,3,0.6666666666666666,1,2.8740234375
angry_greider,10,35,0.2857142857142857,4,8.57177734375
mystifying_banzai,13,16,0.8125,4,7.54736328125
kind_shaw,1,2,0.5,1,1.537109375
happy_wilson,23,63,0.36507936507936506,7,12.39306640625
zen_margulis,519,1227,0.4229828850855746,19,31.94189453125
unruffled_darwin,3,4,0.75,2,3.37158203125
wonderful_bell,16,27,0.5925925925925926,3,4.80419921875
zealous_roentgen,2,3,0.6666666666666666,1,2.85546875
fervent_montalcini,741,2323,0.3189840723202755,24,40.0693359375
nostalgic_easley,2,3,0.6666666666666666,1,1.57421875
interesting_nightingale,14,28,0.5,6,9.642578125
confident_mcnulty,14,20,0.7,3,5.16162109375
unruffled_nightingale,7,12,0.5833333333333334,3,6.5029296875
distracted_nightingale,7,8,0.875,2,2.9208984375
nice_khorana,4,21,0.19047619047619047,3,8.98388671875
cool_raman,3,5,0.6,2,3.373046875
cranky_ardinghelli,4,5,0.8,1,4.1376953125
zealous_kilby,22,42,0.5238095238095238,6,10.3798828125
focused_goodall,3,4,0.75,2,3.3828125
bold_meninsky,17,27,0.6296296296296297,4,8.259765625
objective_boyd,971,5405,0.17964847363552267,30,49.046875
sharp_gates,3,27,0.1111111111111111,3,8.99658203125
tender_hoover,6,14,0.42857142857142855,5,8.76220703125
keen_mendeleev,21,36,0.5833333333333334,9,14.01904296875
dreamy_hawking,3,38,0.07894736842105263,3,9.13818359375
reverent_nightingale,8,16,0.5,3,6.43896484375
loving_austin,10,11,0.9090909090909091,4,7.72607421875
wonderful_jepsen,2,3,0.6666666666666666,2,3.36865234375
dazzling_albattani,8,10,0.8,2,3.54345703125
practical_poincare,27,116,0.23275862068965517,7,14.39794921875
stupefied_ganguly,5,8,0.625,2,2.9892578125
clever_borg,9,15,0.6,3,5.17138671875
objective_ishizaka,13,39,0.3333333333333333,4,9.21923828125
heuristic_heisenberg,8,13,0.6153846153846154,3,6.46630859375
flamboyant_mestorf,20,29,0.6896551724137931,3,6.68408203125
nervous_bell,9,34,0.2647058823529412,6,11.02001953125
xenodochial_tharp,11,29,0.3793103448275862,6,9.900390625
agitated_johnson,4,11,0.36363636363636365,4,6.98046875
vigilant_montalcini,10,33,0.30303030303030304,4,9.66162109375
stupefied_benz,6,40,0.15,4,12.650390625
brave_brahmagupta,426,1881,0.22647527910685805,22,34.0166015625
strange_ramanujan,3,18,0.16666666666666666,3,7.7392578125
sleepy_grothendieck,982,6282,0.15631964342566063,26,47.6953125
admiring_goodall,2,3,0.6666666666666666,2,3.3466796875
compassionate_benz,7,79,0.08860759493670886,6,13.0107421875
great_stonebraker,23,105,0.21904761904761905,9,16.283203125
confident_hertz,1199,2641,0.45399469897766,34,51.416015625
friendly_brattain,87,88,0.9886363636363636,16,21.6669921875
fervent_liskov,10,49,0.20408163265306123,4,12.11181640625
sad_bose,38,113,0.336283185840708,14,22.693359375
optimistic_cray,31,41,0.7560975609756098,6,9.60107421875
bold_agnesi,13,27,0.48148148148148145,5,10.1044921875
stupefied_heyrovsky,11,90,0.12222222222222222,5,14.18994140625
charming_satoshi,23,35,0.6571428571428571,5,8.46337890625
funny_gagarin,10,96,0.10416666666666667,7,16.47265625
keen_spence,78,79,0.9873417721518988,16,21.80712890625
wizardly_germain,419,751,0.5579227696404794,23,35.68701171875
loving_moore,1007,4326,0.2327785483125289,33,56.7919921875
cranky_haslett,1091,4195,0.2600715137067938,30,50.8759765625
elastic_meninsky,27,68,0.39705882352941174,10,18.79150390625
busy_chebyshev,10,113,0.08849557522123894,10,21.15673828125
intelligent_germain,15,20,0.75,4,7.90380859375
objective_engelbart,5,12,0.4166666666666667,4,15.4296875
