function,container_name,schedule_time(ms),cold_start(ms),exec_time(ms),queue_time(ms),used_memory(MB),input_n
azure_func_00000421_io_optimize,laughing_shannon,1814.4185543060303,1721.8427658081055,260.4494094848633,0,12.18359375,30
azure_func_00000410_io_optimize,quirky_banach,3518.226146697998,2486.1886501312256,1015.4280662536621,0,12.0,30
azure_func_00000413_io_optimize,frosty_dubinsky,3884.1066360473633,3209.8729610443115,848.4890460968018,0,11.984375,30
azure_func_00000410_io_optimize,quirky_banach,133.3029270172119,0,703.808069229126,0,14.328125,30
azure_func_00000410_io_optimize,quirky_banach,228.67059707641602,0,153.5208225250244,0,0.12890625,30
azure_func_00000410_io_optimize,quirky_banach,133.4390640258789,0,1299.2327213287354,0,14.3359375,30
azure_func_00000421_io_optimize,objective_yalow,4127.706289291382,3287.1274948120117,965.644121170044,0,12.21484375,30
azure_func_00000421_io_optimize,objective_yalow,4083.0531120300293,3287.1274948120117,4040.989637374878,0,39.41015625,30
azure_func_00000421_io_optimize,objective_yalow,3798.769474029541,3287.1274948120117,3795.440673828125,0,38.73046875,30
azure_func_00000421_io_optimize,objective_yalow,3738.8625144958496,3287.1274948120117,3753.674030303955,0,41.5859375,30
azure_func_00000410_io_optimize,mystifying_euclid,5993.429899215698,5067.519187927246,1007.3423385620117,0,12.15625,30
azure_func_00000410_io_optimize,mystifying_euclid,5691.2970542907715,5067.519187927246,790.5738353729248,0,14.55078125,30
azure_func_00000410_io_optimize,mystifying_euclid,443.1295394897461,0,97.42426872253418,0,0.16015625,30
azure_func_00000410_io_optimize,quirky_banach,545.2826023101807,0,699.934720993042,0,9.4140625,30
azure_func_00000410_io_optimize,quirky_banach,324.7525691986084,0,240.0510311126709,0,0.2265625,30
azure_func_00000410_io_optimize,quirky_banach,77.15177536010742,0,187.3605251312256,0,0.0,30
azure_func_00000410_io_optimize,quirky_banach,71.50840759277344,0,1122.7214336395264,0,14.390625,30
azure_func_00000409_io_optimize,hardcore_leavitt,1672.2443103790283,1572.1888542175293,363.80910873413086,0,12.45703125,30
azure_func_00000409_io_optimize,hardcore_leavitt,1669.785737991333,1572.1888542175293,9617.754936218262,0,82.65234375,30
azure_func_00000409_io_optimize,hardcore_leavitt,1655.8239459991455,1572.1888542175293,7616.76812171936,0,74.76171875,30
azure_func_00000409_io_optimize,hardcore_leavitt,1652.2631645202637,1572.1888542175293,6685.670375823975,0,70.80078125,30
azure_func_00000409_io_optimize,hardcore_leavitt,1633.7296962738037,1572.1888542175293,7715.108633041382,0,74.80859375,30
azure_func_00000409_io_optimize,hardcore_leavitt,1631.5057277679443,1572.1888542175293,9039.114475250244,0,82.3828125,30
azure_func_00000409_io_optimize,hardcore_leavitt,1629.4057369232178,1572.1888542175293,9202.884197235107,0,78.48046875,30
azure_func_00000421_io_optimize,objective_yalow,365.6165599822998,0,1081.7463397979736,0,9.89453125,30
azure_func_00000421_io_optimize,objective_yalow,270.80535888671875,0,147.57776260375977,0,0.0,30
azure_func_00000410_io_optimize,cranky_greider,6160.621166229248,5232.1271896362305,1418.149709701538,0,12.0703125,30
azure_func_00000410_io_optimize,cranky_greider,6136.717081069946,5232.1271896362305,2641.6115760803223,0,29.3203125,30
azure_func_00000410_io_optimize,cranky_greider,6100.538730621338,5232.1271896362305,720.7002639770508,0,7.0390625,30
azure_func_00000410_io_optimize,cranky_greider,6063.6937618255615,5232.1271896362305,2236.2613677978516,0,25.02734375,30
azure_func_00000421_io_optimize,laughing_shannon,454.7262191772461,0,263.25130462646484,0,10.04296875,30
azure_func_00000421_io_optimize,laughing_shannon,420.0711250305176,0,62.99614906311035,0,0.25,30
azure_func_00000421_io_optimize,laughing_shannon,418.12634468078613,0,8625.083923339844,0,66.1484375,30
azure_func_00000421_io_optimize,laughing_shannon,375.23341178894043,0,8124.915361404419,0,73.95703125,30
azure_func_00000421_io_optimize,laughing_shannon,299.8039722442627,0,9526.29041671753,0,64.734375,30
azure_func_00000421_io_optimize,laughing_shannon,211.34710311889648,0,8267.53854751587,0,69.81640625,30
azure_func_00000421_io_optimize,laughing_shannon,134.98377799987793,0,9200.602293014526,0,68.86328125,30
azure_func_00000421_io_optimize,laughing_shannon,61.85030937194824,0,9431.068181991577,0,68.5703125,30
azure_func_00000411_io_optimize,exciting_cerf,8075.684547424316,6680.886745452881,1613.4796142578125,0,11.93359375,30
azure_func_00000410_io_optimize,quirky_banach,362.9286289215088,0,148.6949920654297,0,0.0,30
azure_func_00000410_io_optimize,quirky_banach,57.41119384765625,0,188.83180618286133,0,0.01171875,30
azure_func_00000409_io_optimize,hardcore_leavitt,438.60530853271484,0,126.54304504394531,0,0.0,30
azure_func_00000409_io_optimize,hardcore_leavitt,330.7173252105713,0,181.02025985717773,0,0.140625,30
azure_func_00000409_io_optimize,hardcore_leavitt,63.60459327697754,0,129.19116020202637,0,0.0390625,30
azure_func_00000410_io_optimize,mystifying_euclid,556.6568374633789,0,101.84407234191895,0,0.15625,30
azure_func_00000410_io_optimize,mystifying_euclid,384.55677032470703,0,221.62222862243652,0,0.109375,30
