time(ms),memory(MB),concurrency
51.35655403137207,8.01953125,1
54.619550704956055,8.09765625,2
17.12965965270996,0.0,2
51.555633544921875,8.01953125,3
29.683351516723633,0.171875,3
21.132707595825195,0.0,3
65.75322151184082,8.01953125,4
18.6004638671875,0.0,4
155.77983856201172,19.54296875,4
141.70384407043457,15.58203125,4
46.30255699157715,7.84375,5
19.07205581665039,0.0,5
279.1414260864258,28.69140625,5
265.03658294677734,28.578125,5
287.3690128326416,28.8203125,5
54.09812927246094,8.0859375,6
75.37269592285156,0.35546875,6
32.14001655578613,0.0,6
57.94644355773926,0.1796875,6
156.36372566223145,15.7578125,6
158.45894813537598,19.546875,6
48.98428916931152,8.0859375,7
17.624378204345703,0.0,7
71.31814956665039,1.1015625,7
123.05068969726562,10.44140625,7
22.311687469482422,0.0,7
31.125307083129883,0.18359375,7
34.25288200378418,4.796875,7
52.94632911682129,7.875,8
15.605688095092773,0.0,8
23.446083068847656,0.1875,8
25.16484260559082,0.0,8
32.44185447692871,0.68359375,8
18.662691116333008,0.17578125,8
36.01264953613281,0.17578125,8
16.604185104370117,0.0,8
54.76570129394531,7.9296875,9
23.9565372467041,0.0,9
64.29457664489746,0.3671875,9
20.410537719726562,0.0,9
536.5350246429443,19.8828125,9
22.86982536315918,0.515625,9
17.397642135620117,0.1796875,9
162.61601448059082,19.0703125,9
142.69113540649414,19.01953125,9
55.030107498168945,8.0234375,10
40.096282958984375,0.03125,10
6.61158561706543,0.0,10
24.49774742126465,0.1875,10
44.242143630981445,0.0,10
20.458698272705078,0.359375,10
43.17927360534668,0.51171875,10
19.39535140991211,0.1484375,10
18.441200256347656,0.0,10
24.93739128112793,0.0,10
51.81407928466797,7.9765625,1
53.964853286743164,8.01953125,2
16.811132431030273,0.0,2
55.928945541381836,7.87109375,3
23.983001708984375,0.0,3
72.63541221618652,10.31640625,3
52.559614181518555,8.09375,4
19.47474479675293,0.0,4
126.60622596740723,19.421875,4
138.07153701782227,19.3046875,4
51.329851150512695,7.875,5
18.11528205871582,0.0,5
35.07566452026367,0.16796875,5
28.90181541442871,0.0,5
17.669200897216797,0.34765625,5
53.322553634643555,8.03515625,6
26.485919952392578,0.0,6
17.251253128051758,0.0,6
29.975175857543945,0.16015625,6
79.48017120361328,9.91015625,6
22.446870803833008,0.0,6
53.185224533081055,7.90234375,7
18.668651580810547,0.0,7
18.5697078704834,0.171875,7
27.962684631347656,0.14453125,7
8.671760559082031,0.1796875,7
22.617101669311523,0.0,7
64.4218921661377,9.76953125,7
51.53489112854004,7.96484375,8
19.388437271118164,0.0,8
28.871774673461914,0.1796875,8
11.592626571655273,0.0,8
18.097400665283203,0.0,8
36.19718551635742,0.0,8
16.929149627685547,0.44140625,8
17.047405242919922,0.0,8
52.69670486450195,8.02734375,9
38.033485412597656,0.0,9
22.3085880279541,0.0,9
31.001567840576172,0.0,9
19.390583038330078,0.0,9
23.58865737915039,0.35546875,9
35.01439094543457,0.0,9
36.06009483337402,0.6484375,9
10.239362716674805,0.30859375,9
50.580501556396484,8.08984375,10
27.031421661376953,0.1484375,10
12.875556945800781,0.0,10
23.33664894104004,0.0,10
41.42928123474121,0.0,10
229.25591468811035,19.31640625,10
228.77931594848633,15.890625,10
34.55781936645508,5.15625,10
23.065567016601562,0.0,10
19.373655319213867,0.0,10
55.17101287841797,8.03125,1
55.57823181152344,7.921875,2
17.774105072021484,0.0,2
56.34641647338867,7.875,3
17.626285552978516,0.0,3
66.12324714660645,10.15234375,3
54.846763610839844,7.890625,4
19.975662231445312,0.0,4
149.7783660888672,15.734375,4
150.2699851989746,19.34375,4
54.30412292480469,7.921875,5
22.27306365966797,0.5390625,5
17.042875289916992,0.0,5
12.291431427001953,0.17578125,5
22.989749908447266,0.0,5
52.288055419921875,8.0859375,6
18.936634063720703,0.0,6
12.87531852722168,0.0,6
62.62373924255371,0.5,6
15.318870544433594,0.171875,6
9.063959121704102,0.14453125,6
55.15003204345703,7.87109375,7
45.50313949584961,0.0,7
61.06901168823242,0.3359375,7
54.834604263305664,0.3359375,7
18.7530517578125,0.3671875,7
10.528087615966797,0.0,7
17.853498458862305,0.0,7
52.22368240356445,8.0234375,8
17.66204833984375,0.0,8
51.86319351196289,0.19140625,8
51.46956443786621,0.3515625,8
81.48598670959473,0.68359375,8
20.62225341796875,0.16796875,8
34.51108932495117,0.18359375,8
67.86394119262695,9.6328125,8
50.840139389038086,7.96484375,9
19.47927474975586,0.0,9
72.0219612121582,5.38671875,9
228.0447483062744,19.86328125,9
251.76191329956055,20.09375,9
57.90448188781738,6.1171875,9
92.79012680053711,5.22265625,9
24.33323860168457,5.08203125,9
16.741037368774414,0.1953125,9
52.098989486694336,7.96484375,10
15.874624252319336,0.0,10
36.8959903717041,0.17578125,10
28.534889221191406,0.0,10
16.675472259521484,0.32421875,10
159.14607048034668,10.32421875,10
66.95318222045898,0.3203125,10
19.6378231048584,0.0,10
