time(ms),memory(MB),concurrency
67.84915924072266,9.0390625,1
147.58872985839844,17.76953125,2
143.3391571044922,17.76953125,2
207.67688751220703,20.54296875,3
250.08535385131836,21.5078125,3
262.2551918029785,25.83984375,3
417.1128273010254,36.4765625,4
384.9637508392334,35.7734375,4
434.90052223205566,36.79296875,4
360.42332649230957,32.35546875,4
364.7754192352295,24.98046875,5
403.00559997558594,31.96875,5
405.123233795166,32.625,5
475.2316474914551,41.62890625,5
371.990442276001,29.5859375,5
563.5650157928467,44.7734375,6
651.4012813568115,53.8984375,6
684.6463680267334,54.640625,6
670.7334518432617,54.671875,6
678.9376735687256,54.8984375,6
611.8268966674805,44.0546875,6
394.364595413208,31.63671875,7
526.9114971160889,48.19921875,7
517.9612636566162,47.48828125,7
558.9883327484131,52.546875,7
528.4435749053955,51.71484375,7
526.3538360595703,54.3984375,7
801.94091796875,59.19921875,7
487.61653900146484,41.41015625,8
540.050745010376,43.2890625,8
582.9954147338867,53.3046875,8
649.4612693786621,57.91015625,8
484.0233325958252,35.43359375,8
552.767276763916,44.59765625,8
444.0479278564453,40.60546875,8
543.3919429779053,46.65625,8
654.1721820831299,41.17578125,9
764.9767398834229,55.71875,9
779.1285514831543,62.640625,9
761.4409923553467,60.21484375,9
730.1023006439209,57.8359375,9
517.7981853485107,36.3515625,9
762.0084285736084,66.37890625,9
588.310956954956,51.0,9
794.1467761993408,64.83984375,9
1002.5219917297363,79.2890625,10
924.7219562530518,69.1640625,10
1041.6972637176514,83.15625,10
981.0981750488281,73.03125,10
743.9072132110596,52.93359375,10
963.1054401397705,72.94140625,10
881.1056613922119,57.69921875,10
811.4137649536133,57.06640625,10
1097.3000526428223,88.234375,10
777.4720191955566,46.734375,10
67.75903701782227,9.09765625,1
147.70150184631348,17.86328125,2
155.60197830200195,18.0,2
217.43392944335938,26.84375,3
239.00103569030762,27.23828125,3
175.1883029937744,21.90625,3
1386.2888813018799,32.765625,4
1372.3220825195312,32.8125,4
1409.9113941192627,32.83984375,4
1645.0154781341553,21.00390625,4
252.78735160827637,28.76953125,5
278.54156494140625,28.76953125,5
402.15325355529785,45.515625,5
405.00712394714355,45.55078125,5
380.04422187805176,45.19921875,5
991.4238452911377,46.64453125,6
908.682107925415,41.9921875,6
990.492582321167,47.17578125,6
965.2323722839355,45.85546875,6
1017.3420906066895,50.93359375,6
1257.4741840362549,39.046875,6
1688.6167526245117,55.6875,7
1692.4257278442383,55.5,7
1486.4323139190674,27.6875,7
1627.2540092468262,38.73828125,7
1549.813985824585,27.91796875,7
1652.449369430542,42.78125,7
2240.6539916992188,62.02734375,7
3108.062505722046,35.24609375,8
3177.128553390503,44.5703125,8
2944.864273071289,21.33203125,8
3311.920642852783,61.71875,8
3351.5686988830566,68.984375,8
3284.5396995544434,61.68359375,8
3124.8819828033447,45.69140625,8
3352.250099182129,72.86328125,8
2307.706117630005,62.73046875,9
2017.216682434082,34.65234375,9
2308.4449768066406,63.04296875,9
2281.501293182373,62.515625,9
2207.1852684020996,56.76953125,9
2262.317180633545,60.52734375,9
2333.625555038452,68.3203125,9
2602.7472019195557,67.8125,9
2861.6783618927,51.26953125,9
562.584400177002,55.8515625,10
473.2050895690918,44.45703125,10
508.2085132598877,47.921875,10
720.6807136535645,68.9921875,10
755.6741237640381,68.16015625,10
839.4820690155029,53.43359375,10
689.0408992767334,40.36328125,10
646.134614944458,35.19140625,10
1012.7267837524414,69.421875,10
972.4416732788086,64.21484375,10
73.79770278930664,9.03515625,1
139.62984085083008,16.15234375,2
146.82960510253906,16.15234375,2
232.56444931030273,26.33203125,3
253.2792091369629,27.078125,3
215.0886058807373,26.6875,3
212.69965171813965,22.625,4
173.51555824279785,18.06640625,4
344.0818786621094,26.8984375,4
298.81954193115234,22.140625,4
393.9707279205322,30.82421875,5
327.9144763946533,24.42578125,5
425.37808418273926,37.4765625,5
457.75389671325684,44.65625,5
358.9973449707031,30.17578125,5
530.9364795684814,43.36328125,6
530.6591987609863,43.36328125,6
325.12426376342773,22.140625,6
500.9748935699463,47.4375,6
515.9256458282471,50.8671875,6
911.1406803131104,52.90234375,6
2589.005708694458,38.02734375,7
2659.118890762329,47.95703125,7
2577.451229095459,38.33203125,7
2720.580816268921,51.98828125,7
2667.8426265716553,45.984375,7
2648.371696472168,49.43359375,7
3035.252809524536,63.7890625,7
666.2125587463379,41.21875,8
692.8071975708008,41.9140625,8
760.5304718017578,52.80078125,8
839.3452167510986,68.53125,8
788.5792255401611,58.4375,8
834.0167999267578,63.7265625,8
715.7986164093018,42.796875,8
897.9437351226807,72.9453125,8
1735.3301048278809,48.41015625,9
1808.8781833648682,49.8125,9
1901.2925624847412,65.5078125,9
1946.5465545654297,70.7421875,9
1903.5470485687256,66.4921875,9
1958.2104682922363,71.3203125,9
1793.2922840118408,48.19921875,9
1843.4243202209473,56.65625,9
1983.1395149230957,25.9921875,9
5354.026317596436,50.4296875,10
5281.617164611816,49.25,10
5463.657855987549,64.51171875,10
5497.852563858032,68.8359375,10
5430.888652801514,62.58203125,10
5433.289527893066,40.26953125,10
5565.955638885498,53.64453125,10
5357.126474380493,38.96875,10
5658.101558685303,46.2890625,10
6165.969610214233,47.3125,10
66.50400161743164,9.21875,1
127.90250778198242,15.8984375,2
141.1116123199463,16.23046875,2
156.8748950958252,18.30859375,3
209.50865745544434,22.75,3
248.62074851989746,27.24609375,3
223.50573539733887,17.78515625,4
275.38275718688965,24.20703125,4
394.62780952453613,24.75390625,4
426.88560485839844,26.328125,4
2498.955249786377,29.94921875,5
2537.543296813965,34.1484375,5
2461.1384868621826,29.171875,5
2599.165439605713,45.37890625,5
2589.8449420928955,45.37890625,5
469.49243545532227,41.9453125,6
516.0048007965088,47.046875,6
553.3022880554199,47.5390625,6
