invo_latency(ms),concurrency
1694.9338912963867,1
3359.691619873047,2
5064.353704452515,3
6647.071123123169,4
8285.23325920105,5
9923.447608947754,6
11573.42529296875,7
13329.890251159668,8
15073.873281478882,9
16786.863088607788,10
