container_name,exec_time(ms)
loving_dhawan,3393.1515216827393
nervous_moore,3424.107789993286
charming_margulis,3592.9839611053467
zealous_proskuriakova,3576.2529373168945
busy_proskuriakova,3674.274206161499
recursing_hoover,3680.602550506592
jolly_shockley,3736.4208698272705
unruffled_mccarthy,3790.0376319885254
relaxed_joliot,3783.7040424346924
recursing_jennings,3790.4257774353027
modest_brown,3758.239984512329
compassionate_meitner,3821.5832710266113
pensive_cerf,3848.0679988861084
hungry_bassi,3990.809202194214
sweet_wilson,3938.170909881592
elegant_franklin,4086.8520736694336
sweet_driscoll,4097.917079925537
eager_dijkstra,3945.7297325134277
goofy_cray,3977.520704269409
gifted_antonelli,4147.5794315338135
elegant_ptolemy,4120.848894119263
loving_lederberg,4189.875602722168
gallant_buck,4202.416896820068
sleepy_darwin,4129.640579223633
pensive_kirch,4001.4407634735107
determined_kalam,4139.221906661987
reverent_clarke,4188.744306564331
pedantic_cerf,4340.825319290161
eloquent_black,4458.098411560059
xenodochial_bartik,4538.990259170532
condescending_albattani,4380.851984024048
loving_proskuriakova,4384.083986282349
relaxed_hawking,4383.789777755737
magical_lamport,4701.3750076293945
amazing_hypatia,4581.865549087524
quirky_meninsky,4587.146043777466
stupefied_solomon,4529.025077819824
cool_heisenberg,4809.493780136108
cranky_golick,4503.069639205933
frosty_vaughan,4718.687534332275
