container_name,exec_time(ms),queue_time(ms)
pedantic_newton,3973.4764099121094,0
pedantic_newton,3986.060380935669,0
pedantic_newton,4567.6939487457275,0
pedantic_newton,4058.8934421539307,0
pedantic_newton,4274.760723114014,0
pedantic_newton,4560.5573654174805,0
pedantic_newton,3942.0859813690186,0
pedantic_newton,3498.8670349121094,0
pedantic_newton,4034.3940258026123,0
pedantic_newton,3624.4349479675293,0
pedantic_newton,3868.3993816375732,0
pedantic_newton,4037.170171737671,0
pedantic_newton,4007.946491241455,0
pedantic_newton,4315.267562866211,0
pedantic_newton,4257.18355178833,0
pedantic_newton,4232.290267944336,0
pedantic_newton,4276.020765304565,0
pedantic_newton,3498.3179569244385,0
pedantic_newton,3848.3636379241943,0
pedantic_newton,3529.7603607177734,0
pedantic_newton,3380.412817001343,0
pedantic_newton,4341.055870056152,0
pedantic_newton,4189.948320388794,0
pedantic_newton,3562.742233276367,0
pedantic_newton,2689.5389556884766,0
pedantic_newton,4284.926652908325,0
pedantic_newton,4197.187185287476,0
pedantic_newton,3910.66312789917,0
pedantic_newton,4600.741147994995,0
pedantic_newton,4412.069320678711,0
pedantic_newton,4393.675327301025,0
pedantic_newton,4100.107192993164,0
pedantic_newton,4327.146053314209,0
pedantic_newton,4407.748222351074,0
pedantic_newton,4902.694463729858,0
pedantic_newton,4111.03892326355,0
pedantic_newton,3946.6781616210938,0
pedantic_newton,4166.734218597412,0
pedantic_newton,4392.801523208618,0
pedantic_newton,3953.8471698760986,0
