container_name,exec_time(ms),queue_time(ms)
lucid_panini,20230.445861816406,0
eager_villani,17395.485162734985,0
suspicious_bhabha,19007.247924804688,0
lucid_pike,18517.36545562744,0
magical_einstein,19890.14220237732,0
charming_booth,19697.413206100464,0
thirsty_swanson,18311.113119125366,0
cranky_kirch,18385.645627975464,0
elegant_chaum,19004.28056716919,0
brave_einstein,18525.033473968506,0
focused_joliot,18259.625911712646,0
musing_dhawan,18155.67445755005,0
gifted_hypatia,20870.00846862793,0
practical_maxwell,19425.208568572998,0
charming_clarke,19567.715883255005,0
stoic_black,20744.270086288452,0
xenodochial_ganguly,18391.956090927124,0
competent_fermi,20182.676076889038,0
strange_lalande,20177.344799041748,0
nervous_elbakyan,21166.5141582489,0
frosty_blackwell,20484.260082244873,3
keen_sutherland,18834.07163619995,0
stupefied_margulis,18340.44337272644,0
gracious_saha,20658.599138259888,0
great_goodall,19537.226676940918,0
sleepy_hoover,20336.600303649902,0
naughty_lamarr,17894.941091537476,0
gifted_dirac,20420.592546463013,0
sad_borg,20861.3064289093,0
friendly_wing,19747.295379638672,0
vigorous_goodall,19664.661169052124,4
intelligent_pascal,21021.33536338806,26
compassionate_feynman,20544.498205184937,0
dreamy_feynman,17690.305709838867,0
infallible_galileo,18979.92968559265,0
naughty_nightingale,21002.976655960083,0
infallible_yalow,20141.692638397217,0
gracious_lewin,19489.74847793579,0
funny_chaum,20471.31085395813,8
unruffled_austin,20255.98669052124,0
crazy_grothendieck,19844.11358833313,0
jovial_sanderson,19611.664056777954,0
competent_perlman,19256.321668624878,0
clever_kirch,20979.133129119873,1
practical_bohr,18071.62618637085,1
intelligent_robinson,20643.799781799316,0
reverent_blackburn,18683.943510055542,0
heuristic_kalam,20008.264780044556,0
goofy_knuth,20796.03362083435,0
priceless_lehmann,19633.100271224976,0
awesome_lehmann,20485.929012298584,55
strange_antonelli,20740.861892700195,0
dazzling_lalande,21374.645948410034,0
clever_poincare,19772.079706192017,0
hopeful_heisenberg,20035.1779460907,0
nervous_austin,19599.589347839355,0
vibrant_bhaskara,19505.02371788025,0
serene_ritchie,20672.423124313354,0
happy_wescoff,20185.538291931152,0
practical_ellis,20004.035472869873,1
epic_dhawan,18765.378713607788,0
friendly_colden,18783.653020858765,0
eager_johnson,18772.301197052002,0
magical_shaw,17367.81144142151,0
brave_noether,18209.866046905518,0
gallant_grothendieck,21329.878091812134,0
magical_mendeleev,18908.2510471344,0
zen_meninsky,19817.30341911316,0
lucid_sanderson,20502.167224884033,1
flamboyant_brahmagupta,19796.467781066895,0
bold_hofstadter,20867.663383483887,0
goofy_lalande,20403.812408447266,0
eloquent_kare,17479.594469070435,0
friendly_jones,20314.84079360962,0
hardcore_agnesi,19116.204977035522,0
kind_bardeen,18555.362462997437,0
elastic_rosalind,19522.28593826294,0
loving_borg,20516.8297290802,1
nice_galois,20524.269580841064,0
hungry_mendeleev,19898.640394210815,0
infallible_sinoussi,21201.173305511475,0
elegant_rhodes,20476.845502853394,0
zealous_boyd,18716.274738311768,0
friendly_goldberg,19255.293607711792,0
amazing_ritchie,19335.644483566284,0
amazing_carver,19721.771240234375,0
heuristic_mestorf,19088.41824531555,0
magical_chatterjee,20087.12601661682,0
stupefied_neumann,18553.829193115234,0
hungry_pascal,19683.435916900635,0
sleepy_bohr,20441.919803619385,0
recursing_brahmagupta,20236.59348487854,0
ecstatic_raman,19023.308753967285,1
great_heyrovsky,19515.86151123047,0
gifted_leavitt,19902.597665786743,0
busy_allen,19268.653392791748,0
elated_jemison,20065.110206604004,0
eloquent_swanson,19840.64269065857,0
musing_payne,18877.84481048584,0
busy_murdock,18802.695512771606,0
cool_ganguly,20564.10813331604,2
eager_franklin,19890.926122665405,0
nostalgic_lamarr,19619.094133377075,0
hungry_almeida,18725.8780002594,0
eager_wiles,20130.053281784058,0
eloquent_nash,18863.93642425537,0
dreamy_sammet,19995.967388153076,0
sweet_brattain,18421.318531036377,1
bold_cannon,19010.586500167847,0
elastic_mirzakhani,18924.83687400818,0
musing_williams,19602.80418395996,0
bold_jones,19352.649450302124,0
wonderful_leakey,19188.14182281494,0
practical_satoshi,19574.538946151733,0
zen_shannon,20580.95693588257,0
nervous_kare,21174.29804801941,22
happy_neumann,18403.218269348145,0
tender_kowalevski,20630.47981262207,1
heuristic_rubin,19813.13920021057,0
funny_wilson,19674.540758132935,0
stoic_meninsky,19127.52103805542,0
kind_murdock,17746.83117866516,10
laughing_perlman,19233.068466186523,0
pensive_yonath,20489.685773849487,0
awesome_lumiere,19959.65838432312,0
recursing_mayer,21373.31461906433,0
hopeful_ride,19622.90620803833,0
nostalgic_sammet,20459.522008895874,0
determined_mahavira,19339.24412727356,0
jovial_chebyshev,18226.40824317932,1
cool_yonath,19724.40767288208,0
focused_shaw,18989.09592628479,0
vibrant_chandrasekhar,19153.55658531189,0
pensive_euler,19076.224088668823,0
hungry_thompson,20232.11669921875,0
xenodochial_lamarr,19688.640594482422,0
pensive_black,19863.39831352234,0
condescending_robinson,20038.164377212524,0
zealous_almeida,19583.343744277954,0
bold_jepsen,19099.36571121216,0
great_wozniak,20822.72505760193,0
admiring_jang,18324.992656707764,2
nifty_euclid,18609.503746032715,0
busy_babbage,19271.440505981445,0
adoring_mirzakhani,20386.358737945557,2
suspicious_pike,19057.549715042114,0
inspiring_greider,19964.945554733276,0
vigorous_perlman,19022.23253250122,0
