invo_latency(ms),concurrency
1686.4540576934814,1
3405.750036239624,2
5132.571697235107,3
6727.946996688843,4
8507.152795791626,5
10241.249322891235,6
11499.592304229736,7
13046.734809875488,8
14496.806383132935,9
16394.885301589966,10
