container_name,hits,invos,hit_rate,total_cached_keys,total_num_eviction
gallant_feynman,5,7,0.7142857142857143,6,0
eager_kalam,15,18,0.8333333333333334,5,0
silly_khorana,863,937,0.9210245464247598,100,83
eloquent_carver,882,976,0.9036885245901639,120,97
